number,value,params_hidden_dig,params_par_ratio,params_learning_rate,state
0,0.78031401,7,0.376895886,0.008596616,COMPLETE
1,0.700362319,6,0.377910656,0.00102338,COMPLETE
2,0.813707729,6,0.716959265,0.00066966,COMPLETE
3,0.808574879,6,0.38755628,0.000510608,COMPLETE
4,0.780495169,7,0.229671079,0.000538391,COMPLETE
5,0.776086957,6,0.255910202,0.005818893,COMPLETE
6,0.581823671,6,0.295717081,0.000118622,COMPLETE
7,0.759661836,7,0.654153767,0.002557385,COMPLETE
8,0.781884058,8,0.260749007,0.000437015,COMPLETE
9,0.612077295,7,0.566016376,0.001538817,COMPLETE
